0.094058  ,  0.32432
0.945891  ,  0.288003
0.747765  ,  0.718345
0.492355  ,  0.302469
0.641316  ,  0.906674
0.0455641  ,  0.578478
0.780816  ,  0.947295
0.726615  ,  0.676107
0.947905  ,  0.520463
0.0685141  ,  0.784906
0.971862  ,  0.428663
0.110355  ,  0.197363
0.717246  ,  0.257424
0.625538  ,  0.0798364
0.824763  ,  0.801691
0.622486  ,  0.978729
0.0405896  ,  0.190954
0.859432  ,  0.511246
0.161473  ,  0.618244
0.545671  ,  0.776788
0.313181  ,  0.77163
0.816034  ,  0.832362
0.0274056  ,  0.192633
0.564928  ,  0.759301
0.942839  ,  0.791986
25 speckles in total
